"name"|"anio"|"p_t1"|"p_t2"|"p_t3"|"p_t4"|"p_t5"|"transp_gral"|"p_c1"|"p_c2"|"p_c3"|"p_c4"|"p_c5"|"comp_gral"|"p_i1"|"p_i2"|"p_i3"|"p_i4"|"p_i5"|"irreg_gral"
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2018"|0|0|0|0|0|0|83.33333333333334|0|50|0|11.12399785509854|28.891466237686377|0|0|57.407407407407405|1.8518518518518516|5.555555555555555|12.962962962962962
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2019"|0|0|0|0|0|0|91.9753086419753|0|9.090909090909092|9.090909090909092|24.884001236442128|27.008225612047124|0|0|75.92592592592592|0.6172839506172839|2.4691358024691357|15.802469135802468
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2020"|0|0|0|0|0|0|68.91891891891892|0|6.666666666666667|6.666666666666667|17.536428554439016|19.957736161338254|0|0|78.37837837837837|0|18.91891891891892|19.45945945945946
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2021"|0|0|0|0|17.65|3.53|65.51724137931035|0|29.411764705882355|35.294117647058826|57.61125106511542|37.56687495947339|0|0|63.1578947368421|0|7.017543859649122|14.035087719298243
"Administración Portuaria Integral de Dos Bocas, S.A. de C.V."|"2022"|NA|0|0|0|33.33|8.3325|0|NA|0|0|64.71268939874315|16.178172349685788|0|0|66.66666666666666|0|0|13.333333333333332
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2017"|0|0|0|0|0|0|60|0|0|0|22.6993021679159|16.53986043358318|0|0|80|0|0|16
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2018"|0|0|0|0|0|0|83.07692307692308|0|27.27272727272727|0|39.157623519946526|29.901454773919376|0|0|66.15384615384615|0|0|13.23076923076923
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2019"|0|0|0|0|9.09|1.818|82.53968253968253|0|0|9.090909090909092|60.883747336047676|30.50286779332786|0|0|87.3015873015873|0|9.523809523809524|19.365079365079364
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2020"|0|0|0|0|0|0|84.61538461538461|0|0|0|6.2006758908662345|18.16321210125017|0|0|50|0|0|10
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2021"|1.72|0|0|0|0|0.344|84.05797101449275|0|11.11111111111111|0|66.39591085077356|32.31299859527549|0|0|71.23287671232876|0|2.73972602739726|14.794520547945202
"Administración Portuaria Integral de Ensenada, S.A. de C.V."|"2022"|0|NA|NA|NA|NA|0|100|0|NA|NA|100|66.66666666666667|0|0|0|0|0|0
